ime,visina,obrat
Hribarska (Huda) zijalka,1140 m,58%
Planina Planinca,1136 m,26%
Mala Boncla (Bavha),1131 m,52%
Žmitkov špic,1124 m,39%
Železna (Kisla) voda,1115 m,43%
Zavetišče na Kalu,1112 m,48%
Špik (Paški Kozjak),1108 m,23%
Erjavčev rovt (Planina Mlinca),1105 m,77%
Partizanska bolnica Krtina,1100 m,48%
Jelenkamen,1096 m,23%
Stenica,1091 m,35%
Arihova peč / Arichwand,1090 m,93%
Planina Dolžanka,1090 m,49%
Andrejev dom na Slemenu,1086 m,14%
Koča nad Arihovo pečjo /  Rossalmhütte,1080 m,94%
Pogorevc,1076 m,84%
Sveti Vid pod Jernejevim vrhom,1075 m,59%
Smolnik,1075 m,23%
Koča na Naravskih ledinah,1072 m,37%
Sveti Jošt na Paškem Kozjaku,1063 m,87%
Sveti Jakob v Koprivni,1062 m,97%
Ajdna,1046 m,9%
Bivak Suška bajta,1034 m,87%
Planina Zali potok,1032 m,93%
Sveta Ana (Ljubelj),1032 m,78%
Mirca,1025 m,79%
Veliki Mošenik / Große Muschenig,1021 m,64%
Stolpnik,1012 m,13%
Jezero pri Čežov,1010 m,99%
Plakopec (Brezejec),1005 m,90%
Izvir Javornika,1000 m,48%
Špicasti  vrh (Kislica),994 m,25%
Visoko,991 m,90%
Sv. Mihael (Rute (Zavrh)) / St. Michael (Bärental),982 m,97%
Boč,978 m,2%
Dom Pristava v Javorniškem Rovtu,975 m,19%
Ramšakov vrh,970 m,36%
Veliki vrh nad Završnikom,968 m,54%
Dom na Paškem Kozjaku,960 m,22%
Srnjak,955 m,41%
Radojč,937 m,34%
Podgorska planina / Maria Elender Alm,930 m,65%
Smodivnik,923 m,94%
Slapovi v Preski,910 m,82%
Andrejev vrh,897 m,86%
Volinjak,886 m,82%
Donačka gora,884 m,3%
Fričev vrh,881 m,53%
Rokov vrh / Rochusberg,880 m,93%
Kamnek,873 m,34%
Stegovniški slap,872 m,60%
Gank,850 m,88%
Malnež,846 m,60%
Gora sv. Eme (Junska gora) / Hemmaberg,842 m,95%
Turška jama v Gozdašnici,835 m,51%
Lovska koča Štepih,825 m,42%
Plešivec,822 m,41%
Časov vrh,821 m,64%
Sveti Rupert (Završe),815 m,61%
Sveti Vid (Završe),808 m,61%
Vinska gora,806 m,48%
Poštarski dom pod Plešivcem,805 m,24%
Slapovi Dobršnik,800 m,45%
Temnjak,798 m,60%
Črepič,798 m,53%
Štalekarjev vrh,792 m,92%
Kalvarija nad Jesenicami,784 m,52%
Skalni vrh (Vodemla),780 m,91%
Kozjek,766 m,64%
Slap pod Kurico,760 m,80%
Slap pod Gozdašnico,760 m,78%
Kušpergarjev turn (Kušpergarjevi turni),750 m,88%
Kapelica sv. Barbare na Pejcah,750 m,61%
Soteska Čepa/Tscheppaschlucht,750 m,30%
Skala,750 m,32%
Gradišče nad Sotesko (Soteska),724 m,81%
RIS Dolina (Dovžanova soteska),720 m,80%
Strana,711 m,91%
Čopov rovt,710 m,85%
Slapišče pod Kalvarijo,700 m,86%
Dom na Boču,698 m,17%
Grad Lindek,695 m,43%
Javorniški slapovi,690 m,77%
Dom v Dragi,689 m,36%
Leški cerkvi,674 m,87%
Sveta Marjeta na Boču,655 m,54%
Podkanjski slap / Wildensteiner Wasserfall,640 m,86%
Izvir Sotle,640 m,36%
Jezero Završnica,630 m,89%
Partizanska bolnica na Formili/Boču,630 m,45%
Formila na Boču,624 m,50%
Rudijev dom na Donački gori,590 m,33%
Sveti Rok (Sele),582 m,94%
Gonžarjeva peč,575 m,23%
Lindeški slap,555 m,58%
Planinska koča Velikonočnica,550 m,77%
Mornova zijalka,550 m,42%
Krajnikov grad,549 m,64%
Grilova kapela na Boču,534 m,53%
Sveti Pankracij (Grajski grič),530 m,97%
Grad Konjice,515 m,47%
Sveti Donat,511 m,52%
Sveti Mihael na Pečici,500 m,62%
Sveti Miklavž (Sele),435 m,98%
Sveta Barbara v Zagradu,435 m,97%
Zbelovski grad,400 m,63%
Studeniški grad,315 m,56%
Črni vrh,1543 m,5%
Velika Kopa,1542 m,13%
Jezerski vrh,1537 m,20%
Mali Črni vrh,1533 m,33%
Košenjak,1522 m,7%
Lovrenška jezera,1520 m,2%
Rogla,1517 m,9%
Ribniška koča,1507 m,6%
Ostruščica,1498 m,77%
Ribniško jezero,1490 m,21%
Izvir reke Pake,1412 m,76%
Bivak Piramida,1395 m,86%
Koča na Pesku,1386 m,9%
Kozji vrh (pri Košenjaku),1383 m,89%
Grmovškov dom,1371 m,12%
Žigartov vrh,1346 m,26%
Klopni vrh,1340 m,18%
Sveti Urban (nad Kozjim Vrhom),1329 m,37%
Tiho jezero (Falski ribnik),1266 m,27%
Koča na Klopnem vrhu,1260 m,20%
Ruška koča na Arehu,1246 m,7%
Lukov slap,1240 m,76%
Jezerc,1222 m,46%
Črno jezero na Pohorju,1196 m,10%
Dom na Osankarici,1193 m,15%
Sveti Trije kralji,1181 m,13%
Dom na Košenjaku,1169 m,34%
Kremžarjev vrh,1164 m,13%
Razglednik,1147 m,29%
Koča pod Kremžarjevim vrhom,1102 m,15%
Koča na Pesniku,1101 m,27%
Andrejev dom - Pajk,1100 m,82%
Koča na Šumiku,1100 m,24%
Mariborska koča,1086 m,7%
Šteknetov vrh,1061 m,95%
Sv. Simon in Juda Tadej (Pernice),1059 m,93%
Pokeržnikov vrh,1055 m,92%
Kapunar,1051 m,34%
Sveti Jernej nad Muto,1038 m,89%
Šteharski vrh (Šteharnikov vrh),1018 m,81%
Bricnik,1017 m,87%
Sveti Urh (Strojna),998 m,94%
Sveti Janez Krstnik na Ojstrici ,982 m,52%
Slap Veliki Šumik,950 m,20%
Framski slap,925 m,33%
Sveti Urban (Radelca),920 m,93%
Janževski vrh,915 m,93%
Žavcarjev vrh,915 m,13%
Hlebov vrh (Rdeči Breg),913 m,78%
Sveti Duh na Ostrem Vrhu,904 m,30%
Sveti Pankracij (Radelca),900 m,92%
Slap Mali Šumik,890 m,49%
Lovski dom LD Gradišče,880 m,97%
Koča na Žavcarjevem vrhu,863 m,31%
Sveti Danijel (nad Trbonjami),845 m,97%
Golarjev vrh,843 m,97%
Sveta Barbara nad Slovenj Gradcem,829 m,49%
Sveti Trije Kralji (nad Radljami ob Dravi),820 m,92%
Sveti Primož nad Muto,806 m,91%
Zavetišče Onuk - Glavar,790 m,95%
Anski vrh (nad Pamečami),756 m,95%
Ančnikovo gradišče,750 m,49%
Trije križi na Konjiški gori,727 m,77%
Brinjeva gora (nad Prevaljami),723 m,79%
Pečke,720 m,31%
Sveta Magdalena (Brda),718 m,64%
Ribnica na Pohorju,715 m,95%
Lobnikov vrh,705 m,62%
Tojzlov vrh,703 m,27%
Planinski dom Kozjak,690 m,38%
Žusem,669 m,22%
Jelovice,623 m,84%
Lovska koča Radlje ob Dravi,622 m,95%
Brinjeva gora (nad Zrečami),616 m,97%
Petnikov vrh,603 m,49%
Sv. Urban nad Mariborom,595 m,38%
Stari grad nad Radljami ob Dravi (Mahrenberg),576 m,96%
Sv. Križ (Gaj nad Mariborom),575 m,40%
Babček,575 m,55%
Ljubična gora,533 m,98%
Sveti Križ pri Dravogradu,528 m,91%
Skala (nad Dravogradom),525 m,95%
Gradišče (nad Slovenj Gradcem),516 m,92%
Plački vrh,510 m,45%
Župank,508 m,93%
Sveti Avguštin,504 m,55%
Sedelnikov slap,500 m,88%
Sv. Uršula nad Dramljami,464 m,52%
Sv. Ana nad Makolami,460 m,87%
Samotni bor,426 m,59%
Sotinski breg (Kugla),418 m,31%
Janški vrh,417 m,95%
Serdiški breg (Rdeči breg),416 m,52%
Tromejnik,390 m,42%
Cerkev Device Marije na Kamnu,381 m,98%
Grad Grad na Goričkem,370 m,54%
Zavrh v Slovenskih goricah,370 m,27%
Sveti Benedikt (Kančevci),358 m,64%
Gomila,352 m,90%
Gorca,347 m,57%
Jeruzalem,338 m,33%
Razborški ribniki,330 m,55%
Piramida (Lendavske gorice),327 m,85%
Sv. Marija Magdalena (Dramlje),327 m,59%
Selo v Prekmurju,313 m,29%
Sv.  Ilija (Spodnje Dramlje),304 m,60%
Razgledni stolp Vinarium Lendava,302 m,85%
Izvir Toplega (Studeniškega) potoka,295 m,79%
Sveta Lucija nad Studenicami,290 m,58%
Partizanska bolnica Zima,290 m,45%
Grad Negova,289 m,92%
Sveta Trojica v Lendavskih goricah,266 m,93%
Turistična kmetija Amur,260 m,95%
Vršič nad Bogojino,246 m,62%
Lendavski grad (Dolnjelendavski grad),205 m,91%
Bukovniško jezero,189 m,44%
Babičev mlin na Muri,182 m,87%
Brod na Muri (Melinci),175 m,52%
Tošč,1021 m,3%
Pasja ravan,1020 m,6%
Goli vrh,962 m,34%
Sivka,934 m,19%
Mlaka,914 m,44%
Javorč,901 m,33%
Polhograjska Grmada,898 m,2%
Gontarska planina,894 m,23%
Lavrovec,890 m,38%
Sveti Lenart,861 m,26%
Sveti Ožbolt (nad Zmincem),859 m,23%
Osolnik,858 m,5%
Mala Grmada,853 m,37%
Bukov vrh,832 m,24%
Polhograjska Gora (Sveti Lovrenc),824 m,9%
Veliki hrib,815 m,50%
Goljek,809 m,40%
Sveti Jakob,806 m,4%
Marinčeva planina (Hrib),805 m,48%
Sveti Andrej (Planina nad Horjulom),798 m,32%
Rog,798 m,30%
Kožljek,788 m,27%
Brunarica Osovnik,777 m,18%
Jeterbenk,774 m,13%
Sveta Jedert,750 m,36%
Sveta Katarina (Topol),738 m,5%
Dom na Govejku,734 m,9%
Koreno,729 m,16%
Jermanca (Jermancov grič),728 m,85%
Hom,715 m,15%
Mali vrh,708 m,33%
Kucelj nad Polhovim Gradcem,705 m,78%
Sveta Uršula (Setnica),700 m,39%
Kregovnik,692 m,55%
Sveta Ana (Butajnova),686 m,41%
Sveti Florijan (Tehovec),685 m,43%
Grmada,676 m,6%
Dominov dom,670 m,40%
Šmarna gora,669 m,2%
Kugelč (Šentjošt nad Horjulom),666 m,44%
Sveti Mihael na Samotorici,665 m,54%
Domačija Pr Lenart (Belo),650 m,49%
Rašica (Vrh Staneta Kosca),641 m,4%
Ključ,623 m,30%
Sveti Andrej (nad Zmincem),617 m,99%
Vrhe nad Dobrovo,603 m,54%
Visoki hrib,602 m,52%
Toško Čelo,590 m,6%
Sveti Urban (nad Gorenjo Dobravo),570 m,96%
Veliki vrh (Rašica),568 m,37%
Sveti Martin nad Brišami,567 m,56%
Sveti Jurij (Praproče),552 m,87%
Partizanski dom na Ključu,550 m,34%
Gradišče nad Žažarjem,547 m,86%
Vrh (Debeli hrib),540 m,41%
Gradišče (nad Dobrovo),530 m,87%
Planinski dom na Ravneku,522 m,44%
Smledniški hrib (Stari grad),517 m,16%
Sveta Marjeta pod Jeterbenkom,482 m,38%
Bezenica,476 m,61%
Strmca,472 m,55%
Koseški hrib,467 m,80%
Kalvarija,460 m,29%
Gradišče (Zapoški hrib),451 m,79%
Debeli vrh (nad Topolami),446 m,84%
Klobuk pri Ljubljani,441 m,74%
Stražni vrh,439 m,78%
Lovska koča na Klobuku,433 m,75%
Mengeška koča na Gobavici,433 m,21%
Šišenski hrib (Rožnik),429 m,18%
Sveti Urh,420 m,29%
Sveti Tilen nad Repnjami,419 m,78%
Sveti Jurij (Hruševo),414 m,82%
Slavkov dom na Golem brdu,396 m,21%
Straža,395 m,54%
Cankarjev vrh (Rožnik),394 m,10%
Sveti križ na Hribcu,380 m,58%
Blagajev grad (Polhograjska graščina),377 m,86%
Ljubljanski grad,376 m,14%
Mlinčki,340 m,79%
Mostec,316 m,78%
Koseški bajer,307 m,24%
Altemaver (Ratitovec),1678 m,3%
Gladki vrh (Ratitovec),1667 m,11%
Kremant (Ratitovec),1654 m,37%
Kosmati vrh (Ratitovec),1643 m,29%
Krekova koča na Ratitovcu,1642 m,1%
Porezen,1630 m,2%
Dom na Poreznu,1590 m,9%
Blegoš,1562 m,1%
Žbajnek,1538 m,38%
Kačji rob,1520 m,31%
Hoč,1514 m,77%
Planina Klom,1500 m,37%
Črni vrh (nad Soriško planino),1486 m,83%
Planina Pečana,1472 m,29%
Medrce,1410 m,47%
Koprivnik,1393 m,19%
Koča na Blegošu,1391 m,10%
Mladi vrh,1374 m,31%
Kopa (Cimprovka),1360 m,46%
Lipniška planina,1330 m,77%
Tonderškofel,1326 m,78%
Erbelc,1308 m,79%
Otavnik,1306 m,81%
Kojca,1303 m,18%
Črni vrh nad Novaki,1291 m,30%
Planina Otavnik,1268 m,82%
Koča na Črnem vrhu nad Novaki,1245 m,32%
Gozdarske koče Martinček,1240 m,79%
Stari vrh,1217 m,16%
Zavetišče gorske straže na Jelencih,1185 m,28%
Planina Kališnik,1180 m,85%
Hudournik,1148 m,41%
Počitniški dom Goričane,1145 m,52%
Dražgoška gora,1140 m,80%
Selska planina,1140 m,52%
Bela peč (Podbliška gora),1133 m,80%
Babji zob,1128 m,9%
Planina Tamar,1124 m,23%
Ribčeva planina,1115 m,55%
Partizanski dom na Vodiški planini,1108 m,8%
Jelenk,1107 m,22%
Oblakova planina,1100 m,54%
Lovska koča LD Otavnik,1090 m,86%
Danejeva planina,1090 m,36%
Gozdarska koča Rovtarica,1089 m,35%
Vrhovec,1079 m,42%
Vojsko,1077 m,23%
Malenski vrh,1051 m,87%
Bevkov vrh,1051 m,11%
Gozdarska koča na Babi,1050 m,80%
Lovska koča na Toli,1040 m,53%
Žagarjev hlev v Grobljah,1035 m,60%
Koča na Starem vrhu,1032 m,20%
Ermanovec,1026 m,11%
Lubnik,1025 m,2%
Planina Prihod,1017 m,83%
Bičkova skala,1012 m,80%
Prtovč,1011 m,35%
Sivka,1008 m,13%
Štor,1005 m,57%
Razpok,1002 m,95%
Davški slapovi,1000 m,78%
Gradišče (nad Spodnjo Idrijo),998 m,53%
Loncmanova Sivka (Mrzli Vrh),987 m,43%
Cerkev Marijinega vnebovzetja (Gora),987 m,47%
Škofje,973 m,52%
Planinska koča Mrzl'k,971 m,79%
Koča na Ermanovcu,968 m,18%
Ažmanov rovt,960 m,94%
Miklavška gora,955 m,44%
Suharna,952 m,98%
Sveti Mohor (Zabrekve),952 m,19%
Planinski dom Goška ravan,933 m,31%
Sveti Brikcij (Četena Ravan),920 m,96%
Hleviška planina,908 m,16%
Bitenjska planina,901 m,58%
Planina Vršana,900 m,83%
Sleme (Površnica),883 m,89%
Tolsti vrh (Talež),883 m,23%
Veliki vrh (Lajše),881 m,59%
Sveti Marko (Spodnje Danje),878 m,84%
Sveti Križ nad Selcami,860 m,89%
Sveta Jedert (Lajše),850 m,89%
Sveti Jošt nad Kranjem,845 m,2%
Špičasti hrib,837 m,38%
Sveti Primož in Felicijan (Jamnik),831 m,24%
Sveti Primož in Felicijan na Gabrški gori,830 m,82%
Gradišče pod Babjim zobom,824 m,89%
Sveti nadangel Gabrijel (Planica),824 m,23%
Koča na Hleviški planini,818 m,20%
Cerkovni vrh,804 m,57%
Leskovica,800 m,57%
Dom na Slajki,789 m,26%
Zagrebenc,763 m,61%
Sveti Tomaž (Vrsnik nad Žirmi),744 m,79%
Vrh soteske (Križna gora),735 m,92%
Lovska koča na Taležu,725 m,21%
Rovnik,707 m,58%
Hujska,706 m,84%
Rodne,698 m,58%
Sveti Križ (Križna Gora),680 m,12%
Sveti Tomaž nad Praprotnim,666 m,39%
Sveti Duh (Labinje),665 m,97%
Jagršče,663 m,59%
Izvir Volaščice,650 m,58%
Šmarjetna gora,646 m,9%
Sveti Štefan (Kupljenik),642 m,83%
Šebrelje,639 m,46%
Bolnica Franja,601 m,14%
Lipniški grad (Pusti grad nad Lipnico),590 m,83%
Sveti Lovrenc na Lovrenški gori,580 m,48%
Sveti Jošt v Trebenčah,573 m,59%
Sveti Ivan nad Divjimi babami,573 m,61%
Cerkev Loretske Matere Božje v Suši,560 m,60%
Kapelica Na Koren,550 m,80%
Ojstra peč,516 m,84%
Slap Grmečica,510 m,30%
Zjavka,505 m,88%
Grad Divja Loka (Stari grad),502 m,46%
Krancelj,453 m,51%
Divje babe,450 m,40%
Kamnitnik (nad Škofjo Loko),426 m,87%
Slap Šum,425 m,38%
Srednji Kamnitnik,421 m,99%
Mali Kamnitnik ,416 m,99%
Medvedja luknja,390 m,99%
Slap v Sopotih (Pršjak),360 m,48%
Kum,1220 m,2%
Črni vrh (Čemšeniška planina),1204 m,6%
Trdinov vrh,1178 m,4%
Javor,1132 m,23%
Mrzlica,1122 m,2%
Koča na Čemšeniški planini,1120 m,5%
Veliki Rog,1099 m,30%
Gozdnik,1090 m,15%
Ledenik,1072 m,76%
Sveta Marija (Ključevica),1067 m,77%
Mirna gora,1047 m,7%
Slovenski vrh,1041 m,76%
Mestni vrh,1034 m,26%
Veliki Javornik (Bohor),1023 m,11%
Sveta planina (Partizanski vrh),1011 m,16%
Požgani hrib,1009 m,43%
Dom na Mirni gori,1000 m,16%
Livoldski vrh,994 m,52%
Veliko Kozje,993 m,16%
Kal,985 m,15%
Koprivnik (Bohor),984 m,39%
Grad Fridrihštajn,970 m,24%
Stene svete Ane,964 m,32%
Dom pri Miklavžu,964 m,17%
Nebeška gora,958 m,21%
Špilk,956 m,30%
Gače,955 m,27%
Skalica (Bohor),951 m,43%
Lisca,948 m,3%
Planinski rudarski dom na Kalu,946 m,28%
Malič,936 m,24%
Roviškovec,930 m,47%
Reška planina,925 m,31%
Debeli vrh (Bohor),921 m,54%
Koča pri Sveti Ani na Mali gori,910 m,18%
Kopitnik,910 m,8%
Krvavica,909 m,15%
Koča na Bohorju,896 m,18%
Grmada (Bohor),890 m,96%
Klobuk,890 m,28%
Sveti Peter,888 m,21%
Planinski dom Vrhe,887 m,37%
Grmada na Mali gori,887 m,30%
Slivna (Pivkelj),880 m,35%
Reber,878 m,46%
Pleše,866 m,48%
Koča na Kopitniku,865 m,26%
Kamnik,861 m,25%
Oslica (Bohor),860 m,54%
Ostrež,856 m,30%
Ostri vrh,855 m,34%
Zasavska Sveta gora,852 m,6%
Koča pri Jelenovem studencu,850 m,25%
Lipovec,848 m,51%
Sv. Primož in Felicijan (Razbor pri Čemšeniku),841 m,93%
Ledena jama na Stojni,840 m,40%
Cicelj,836 m,22%
Tolsti vrh nad Celjsko kočo,834 m,18%
Golava,834 m,24%
Dom na Zgornji Slivni,826 m,39%
Planinski dom na Zasavski Sveti gori,822 m,36%
Planinski dom pri Gospodični,822 m,16%
Sedlata gorica (Pogorelec),817 m,44%
Govško brdo,811 m,36%
Brest (Bohor),808 m,57%
Veliki vrh nad Svetino,807 m,41%
Janče,792 m,7%
Pašnik Lipovec,790 m,54%
Baba,789 m,44%
Dom na Šmohorju,784 m,12%
Kamen vrh,783 m,33%
Vrunčev dom na Svetini,780 m,37%
Tolsto,780 m,58%
Obolno,776 m,31%
Limbarska gora,773 m,7%
Almin dom na Svetini,772 m,15%
Kotečnik,772 m,30%
Dom v Gorah,762 m,26%
Vrtače,758 m,95%
Kucelj,748 m,25%
Sveti Ahac,748 m,28%
Sveti Ilija (Planina),747 m,48%
Murovica,743 m,29%
Zajčeva koča,742 m,29%
Sveti Miklavž nad Savo,741 m,19%
Žamboh,738 m,92%
Tolsta gora,734 m,82%
Ciganov vrh (Korinjski hrib),731 m,52%
Kmečki turizem Obolno,722 m,80%
Sveti Lovrenc nad  vasjo Okroglice,722 m,44%
Grmada nad Celjem,718 m,13%
Pokojni vrh (Bohor),711 m,61%
Gradišče,706 m,37%
Plezališče in ferata Renke,700 m,85%
Srebotnik,700 m,25%
Sveti Florjan (Zgornja Gora),698 m,93%
Gorišca,698 m,95%
Tabor,697 m,84%
Pristava nad Stično,694 m,38%
Golčaj,690 m,38%
Limberk,687 m,51%
Veliki Špiček,686 m,35%
Resevna,682 m,10%
Vrh (Šticna),679 m,56%
Stari grad (grad Čušperk),668 m,46%
Dom pod Reško planino,664 m,32%
Visoka špica ,660 m,38%
Sveta Marjeta (Prežganje),658 m,78%
Dom Ušte - Žerenk,658 m,27%
Celjska koča,652 m,5%
Raskože (Bohor),650 m,63%
Vrhija,648 m,61%
GEOSS,645 m,23%
Zabreznik (Sv. Miklavž),644 m,62%
Sveti Lambert,643 m,59%
Sveti Duh (Polževo),630 m,81%
Žagarski vrh,627 m,76%
Kalanov hrib (Kalanček),626 m,51%
Pečovniška koča na Grmadi,620 m,29%
Pugled,615 m,33%
Bajturn (Zaplaški hrib),609 m,83%
Lomnik,609 m,65%
Veliki Slomnik,609 m,43%
Dragov dom na Homu,607 m,28%
Hotel Polževo,592 m,76%
Semenič,590 m,63%
Dom na Bukovici,584 m,30%
Hum nad Laškim ,583 m,74%
Trebni vrh,581 m,47%
Stari grad Kamnik,577 m,37%
Mehovski hrib,571 m,23%
Hom nad Celjem,570 m,35%
Rifnik,568 m,25%
Resje nad Štorami,567 m,44%
Lisec (Liška gora),565 m,54%
Lovski dom na Vrhtrebnjem,562 m,47%
Pri knapu pod Babo,552 m,53%
Smuk,545 m,51%
Zaplaz,543 m,82%
Vipota,532 m,51%
Debenji vrh,530 m,17%
Sveta Trojica (nad Dobom),527 m,85%
Svete gore,527 m,40%
Sv. Peter (Olešče),525 m,53%
Ostri vrh (nad Globodolom),523 m,87%
Strešni vrh (Svibno),523 m,55%
Grad Turjak,522 m,43%
Sv. Križ (Retje),520 m,56%
Turn (Sv. Janez Krstnik),513 m,43%
Sveti Mohor na Mohorjevem hribu,511 m,81%
Lavričeva koča na Gradišču,510 m,16%
Grad Višnja Gora (Stari grad),506 m,82%
Magdalenska gora,504 m,31%
Kapelica pri Mariji pod Srebotnikom,500 m,87%
Ajdovščina nad Ihanom,495 m,95%
Tabor Cerovo,493 m,83%
Špicberg,490 m,50%
Gradiški grič,485 m,88%
Oklo nad Ihanom,465 m,88%
Sveti Primož in Felicijan nad Semičem,465 m,63%
Orle,458 m,74%
Planinski dom na Brnici,457 m,31%
Mazovnik (Golovec),450 m,24%
Sitarjevec,448 m,51%
Sveti Peter (Selo pri Mirni),445 m,82%
Stari grad (Stari Osterberg),443 m,48%
Dom LD Dobrnič,440 m,87%
Črni hrib (Golovec),440 m,42%
Gašperjeva koča pod Velikim Kozjem,436 m,41%
Sveta Marija (Trška Gora),428 m,77%
Sveti Križ (Liška gora),428 m,62%
Veliki vrh (Križentaver),419 m,84%
Grad Rožek (Rudolfseck),412 m,93%
Tinska gora,409 m,55%
Stari grad na Grajskem hribu,407 m,40%
Oljska gora,401 m,83%
Sv. Miklavž na Goropečah,401 m,91%
Stari grad (Volčji Potok),398 m,88%
Miklavžev hrib (Miklavški hrib),394 m,55%
Hribce,388 m,84%
Sv. Kunigunda na Taboru nad Ihanom,377 m,89%
Miklavžev hrib (Razgledni stolp),376 m,86%
Sv. Andrej nad Olimjem,351 m,81%
Dom Frata,345 m,76%
Gradiško jezero,340 m,78%
Sveti Primož (Kremen),340 m,80%
Lahomniški sopot,325 m,53%
Sv. Urban (Cmereška Gorca),322 m,59%
Sv. Lovrenc (Kompole),315 m,46%
Pusti Peter,311 m,47%
Herkulovo svetišče na Bregu,290 m,86%
Izvir Krke,272 m,77%
Stari grad nad Otočcem,250 m,81%
